,date,home_team,away_team,full_game_total,home_team_total,away_team_total
0,2024-11-10T17:00:00Z,Wisconsin Badgers,Appalachian St Mountaineers,138.5,77.5,60.5
1,2024-11-10T17:00:00Z,Indiana Hoosiers,Eastern Illinois Panthers,149.5,88.5,61.5
2,2024-11-10T18:00:00Z,Detroit Mercy Titans,Niagara Purple Eagles,144.5,72.5,71.5
3,2024-11-10T18:00:00Z,Georgia Tech Yellow Jackets,North Florida Ospreys,153.5,83.5,69.5
4,2024-11-10T18:00:00Z,Wake Forest Demon Deacons,Michigan Wolverines,156.5,78.5,77.5
5,2024-11-10T18:00:00Z,Vanderbilt Commodores,SE Missouri St Redhawks,156.5,91.5,64.5
6,2024-11-10T19:00:00Z,American Eagles,Harvard Crimson,140.5,69.5,70.5
7,2024-11-10T19:00:00Z,Miami Hurricanes,Binghamton Bearcats,154.5,91.5,63.5
8,2024-11-10T19:00:00Z,Brown Bears,Maine Black Bears,141.5,71.5,69.5
9,2024-11-10T19:00:00Z,Campbell Fighting Camels,St. Francis (PA) Red Flash,142.5,75.5,66.5
10,2024-11-10T19:00:00Z,Drake Bulldogs,Stephen F. Austin Lumberjacks,138.5,71.5,67.5
11,2024-11-10T19:00:00Z,Northeastern Huskies,Princeton Tigers,148.5,,
12,2024-11-10T19:00:00Z,Northern Iowa Panthers,UC Irvine Anteaters,145.5,73.5,71.5
13,2024-11-10T20:00:00Z,Oklahoma St Cowboys,St. Thomas (MN) Tommies,157.5,85.5,71.5
14,2024-11-10T20:00:00Z,UAB Blazers,SE Louisiana Lions,152.5,87.5,65.5
15,2024-11-10T20:30:00Z,Georgia Bulldogs,Texas Southern Tigers,148.5,83.5,65.5
16,2024-11-10T21:00:00Z,Wyoming Cowboys,Tennessee St Tigers,144.5,77.5,67.5
17,2024-11-10T22:00:00Z,LSU Tigers,Alabama St Hornets,151.5,85.5,65.5
18,2024-11-10T22:00:00Z,Gonzaga Bulldogs,Arizona St Sun Devils,157.5,89.5,67.5
19,2024-11-10T22:00:00Z,Creighton Bluejays,Fairleigh Dickinson Knights,163.5,,
20,2024-11-11T03:00:00Z,Hawai'i Rainbow Warriors,San José St Spartans,135.5,70.5,66.5
